f_es,T_es,chisquared
1.0476157527896662e-08,0.1958747788123356,21646.170910521672
1.3219411484660288e-08,0.1958747788123356,21749.140647982982
1.6681005372000592e-08,0.1958747788123356,22081.923228676536
2.104904144512022e-08,0.1958747788123356,22550.992621211433
2.656087782946684e-08,0.1958747788123356,23095.03830127065
3.351602650938841e-08,0.1958747788123356,17653.38203941958
4.229242874389499e-08,0.1958747788123356,17618.490063504578
5.336699231206302e-08,0.1958747788123356,17805.485739689597
6.734150657750828e-08,0.1958747788123356,18118.80009950288
8.497534359086438e-08,0.1958747788123356,15715.064445595543
1.0722672220103232e-07,0.1958747788123356,15081.13832915744
1.3530477745798075e-07,0.1958747788123356,15100.279185793235
1.7073526474706888e-07,0.1958747788123356,15235.93101854303
2.1544346900318867e-07,0.1958747788123356,13442.710930503514
2.71858824273294e-07,0.1958747788123356,13226.166976833641
3.4304692863149193e-07,0.1958747788123356,13187.88956721005
4.3287612810830616e-07,0.1958747788123356,12148.525237257949
5.462277217684337e-07,0.1958747788123356,11908.912096522998
6.892612104349695e-07,0.1958747788123356,11524.38767191366
8.697490026177835e-07,0.1958747788123356,11032.99893756686
1.0974987654930568e-06,0.1958747788123356,10855.410020360672
1.3848863713938717e-06,0.1958747788123356,10303.319644195326
1.747528400007683e-06,0.1958747788123356,10089.007994777081
2.2051307399030456e-06,0.1958747788123356,9751.220013437794
2.782559402207126e-06,0.1958747788123356,9546.67698497102
3.5111917342151275e-06,0.1958747788123356,9302.298789519891
4.430621457583877e-06,0.1958747788123356,9108.523170062996
5.590810182512223e-06,0.1958747788123356,8943.505298308588
7.0548023107186455e-06,0.1958747788123356,8747.450610711072
8.902150854450392e-06,0.1958747788123356,8569.675362781709
1.1233240329780266e-05,0.1958747788123356,8405.844923274632
1.4174741629268048e-05,0.1958747788123356,8252.30512957018
1.7886495290574353e-05,0.1958747788123356,8114.241924196138
2.2570197196339216e-05,0.1958747788123356,8024.312669592261
2.848035868435799e-05,0.1958747788123356,7998.040657175795
3.5938136638046256e-05,0.1958747788123356,7994.159721933354
4.534878508128582e-05,0.1958747788123356,7991.467488977785
5.72236765935022e-05,0.1958747788123356,7956.957539292527
7.220809018385456e-05,0.1958747788123356,7898.379172103526
9.111627561154887e-05,0.1958747788123356,7839.217224191551
0.00011497569953977356,0.1958747788123356,7776.139691565765
0.000145082877849594,0.1958747788123356,7711.852592705214
0.0001830738280295366,0.1958747788123356,7643.511054131449
0.0002310129700083158,0.1958747788123356,7579.561626119561
0.0002915053062825176,0.1958747788123356,7521.475555140637
0.0003678379771828634,0.1958747788123356,7468.824569566154
0.0004641588833612782,0.1958747788123356,7421.581537291219
0.0005857020818056661,0.1958747788123356,7379.705078947258
0.0007390722033525775,0.1958747788123356,7339.558952970271
0.0009326033468832199,0.1958747788123356,7298.922800266724
0.0011768119524349992,0.1958747788123356,7261.992293808269
0.0014849682622544635,0.1958747788123356,7228.538144392909
0.001873817422860383,0.1958747788123356,7198.551763770317
0.002364489412645407,0.1958747788123356,7172.422721133735
0.0029836472402833404,0.1958747788123356,7149.940261968899
0.0037649358067924636,0.1958747788123356,7131.985763285605
0.004750810162102793,0.1958747788123356,7118.193416212275
0.005994842503189409,0.1958747788123356,7107.934508460868
0.007564633275546291,0.1958747788123356,7101.220752424905
0.009545484566618327,0.1958747788123356,7098.25219430708
0.012045035402587835,0.1958747788123356,7098.9833467423105
0.01519911082952933,0.1958747788123356,7103.638308529692
0.019179102616724848,0.1958747788123356,7112.363158191703
0.024201282647943835,0.1958747788123356,7125.234614900554
0.030538555088334123,0.1958747788123356,7142.343589221546
0.038535285937105354,0.1958747788123356,7163.870754026826
0.04862601580065353,0.1958747788123356,7188.423857681495
0.06135907273413163,0.1958747788123356,7216.149901561151
0.07742636826811278,0.1958747788123356,7248.648828650924
0.09770099572992247,0.1958747788123356,7286.065196575033
0.12328467394420634,0.1958747788123356,7328.488073424615
0.15556761439304723,0.1958747788123356,7375.965811612272
0.19630406500402683,0.1958747788123356,7428.586444638373
0.2477076355991714,0.1958747788123356,7486.381059578573
0.31257158496882353,0.1958747788123356,7549.346381858773
0.39442060594376477,0.1958747788123356,7622.887533511709
0.49770235643321137,0.1958747788123356,7711.359768312904
0.6280291441834247,0.1958747788123356,7800.539439634889
0.7924828983539186,0.1958747788123356,7889.9275669482195
1.0,0.1958747788123356,7979.018718145994
1e-10,0.20642345816548496,47915.445690308145
1.2618568830660183e-10,0.20642345816548496,47912.430504108306
1.592282793341094e-10,0.20642345816548496,47929.07558232658
2.0092330025650458e-10,0.20642345816548496,47953.66775251544
2.5353644939701164e-10,0.20642345816548496,47980.26810427898
3.1992671377973845e-10,0.20642345816548496,48005.771133178954
4.03701725859655e-10,0.20642345816548496,48028.53455080032
5.094138014816385e-10,0.20642345816548496,48047.70421803012
6.428073117284319e-10,0.20642345816548496,48062.855403727524
8.111308307896856e-10,0.20642345816548496,48073.805589811265
1.0235310218990269e-09,0.20642345816548496,48080.50035368522
1.2915496650148826e-09,0.20642345816548496,48082.95473097351
1.6297508346206469e-09,0.20642345816548496,29240.52083141649
2.0565123083486515e-09,0.20642345816548496,29181.14279921595
2.595024211399732e-09,0.20642345816548496,29409.45932398189
3.2745491628777316e-09,0.20642345816548496,29797.11331667604
4.132012400115335e-09,0.20642345816548496,30267.40630953886
5.214008287999674e-09,0.20642345816548496,30774.250999312317
6.579332246575682e-09,0.20642345816548496,31289.885587486937
8.302175681319736e-09,0.20642345816548496,31797.66918154074
1.0476157527896662e-08,0.20642345816548496,21645.886124719385
1.3219411484660288e-08,0.20642345816548496,21748.85359562832
1.6681005372000592e-08,0.20642345816548496,22081.62907745536
2.104904144512022e-08,0.20642345816548496,22550.68414101048
2.656087782946684e-08,0.20642345816548496,23094.70791248964
3.351602650938841e-08,0.20642345816548496,17653.047618775527
4.229242874389499e-08,0.20642345816548496,17618.148291030026
5.336699231206302e-08,0.20642345816548496,17805.13221156383
6.734150657750828e-08,0.20642345816548496,18118.42877225004
8.497534359086438e-08,0.20642345816548496,15714.69232757852
1.0722672220103232e-07,0.20642345816548496,15080.753502527983
1.3530477745798075e-07,0.20642345816548496,15099.879396550188
1.7073526474706888e-07,0.20642345816548496,15235.511936020024
2.1544346900318867e-07,0.20642345816548496,13442.293311235551
2.71858824273294e-07,0.20642345816548496,13225.73478827451
3.4304692863149193e-07,0.20642345816548496,13187.439513726456
4.3287612810830616e-07,0.20642345816548496,12148.072998237554
5.462277217684337e-07,0.20642345816548496,11908.445011858028
6.892612104349695e-07,0.20642345816548496,11523.909145139492
8.697490026177835e-07,0.20642345816548496,11032.511473467172
1.0974987654930568e-06,0.20642345816548496,10854.90613039371
1.3848863713938717e-06,0.20642345816548496,10302.812222089005
1.747528400007683e-06,0.20642345816548496,10088.485771128198
2.2051307399030456e-06,0.20642345816548496,9750.687246170695
2.782559402207126e-06,0.20642345816548496,9546.128700339881
3.5111917342151275e-06,0.20642345816548496,9301.736413799736
4.430621457583877e-06,0.20642345816548496,9107.943979908037
5.590810182512223e-06,0.20642345816548496,8942.9079641385
7.0548023107186455e-06,0.20642345816548496,8746.836228478534
8.902150854450392e-06,0.20642345816548496,8569.04331446142
1.1233240329780266e-05,0.20642345816548496,8405.194539891547
1.4174741629268048e-05,0.20642345816548496,8251.635728718398
1.7886495290574353e-05,0.20642345816548496,8113.552049561378
2.2570197196339216e-05,0.20642345816548496,8023.598453982635
2.848035868435799e-05,0.20642345816548496,7997.296780556714
3.5938136638046256e-05,0.20642345816548496,7993.384188564541
4.534878508128582e-05,0.20642345816548496,7990.660001627772
5.72236765935022e-05,0.20642345816548496,7956.121048809323
7.220809018385456e-05,0.20642345816548496,7897.516126469202
9.111627561154887e-05,0.20642345816548496,7838.328092752086
0.00011497569953977356,0.20642345816548496,7775.224556729049
0.000145082877849594,0.20642345816548496,7710.911322002079
0.0001830738280295366,0.20642345816548496,7642.5441325181655
0.0002310129700083158,0.20642345816548496,7578.568390853195
0.0002915053062825176,0.20642345816548496,7520.455480601604
0.0003678379771828634,0.20642345816548496,7467.776903008552
0.0004641588833612782,0.20642345816548496,7420.505549668686
0.0005857020818056661,0.20642345816548496,7378.60005199841
0.0007390722033525775,0.20642345816548496,7338.424519911401
0.0009326033468832199,0.20642345816548496,7297.758937097326
0.0011768119524349992,0.20642345816548496,7260.798778594787
0.0014849682622544635,0.20642345816548496,7227.314349162264
0.001873817422860383,0.20642345816548496,7197.297016683572
0.002364489412645407,0.20642345816548496,7171.1365527681055
0.0029836472402833404,0.20642345816548496,7148.621902452295
0.0037649358067924636,0.20642345816548496,7130.634344215776
0.004750810162102793,0.20642345816548496,7116.80808430315
0.005994842503189409,0.20642345816548496,7106.514445156284
0.007564633275546291,0.20642345816548496,7099.765090440247
0.009545484566618327,0.20642345816548496,7096.759887449439
0.012045035402587835,0.20642345816548496,7097.453030016526
0.01519911082952933,0.20642345816548496,7102.068919174561
0.019179102616724848,0.20642345816548496,7110.75396404276
0.024201282647943835,0.20642345816548496,7123.584730491048
0.030538555088334123,0.20642345816548496,7140.651853464133
0.038535285937105354,0.20642345816548496,7162.135957022668
0.04862601580065353,0.20642345816548496,7186.645065361271
0.06135907273413163,0.20642345816548496,7214.326112531679
0.07742636826811278,0.20642345816548496,7246.778481667292
0.09770099572992247,0.20642345816548496,7284.146865580045
0.12328467394420634,0.20642345816548496,7326.520302294582
0.15556761439304723,0.20642345816548496,7373.947122053696
0.19630406500402683,0.20642345816548496,7426.515348376277
0.2477076355991714,0.20642345816548496,7484.256069511952
0.31257158496882353,0.20642345816548496,7547.166024009963
0.39442060594376477,0.20642345816548496,7620.649295211062
0.49770235643321137,0.20642345816548496,7709.060287160374
0.6280291441834247,0.20642345816548496,7798.178210655269
0.7924828983539186,0.20642345816548496,7887.504250187754
1.0,0.20642345816548496,7976.53315457024
1e-10,0.2175402281976399,47915.418708764155
1.2618568830660183e-10,0.2175402281976399,47912.38773640625
1.592282793341094e-10,0.2175402281976399,47929.01596878437
2.0092330025650458e-10,0.2175402281976399,47953.588364061674
2.5353644939701164e-10,0.2175402281976399,47980.16550776588
3.1992671377973845e-10,0.2175402281976399,48005.64252232025
4.03701725859655e-10,0.2175402281976399,48028.379823239025
5.094138014816385e-10,0.2175402281976399,48047.519709627246
6.428073117284319e-10,0.2175402281976399,48062.64041671487
8.111308307896856e-10,0.2175402281976399,48073.55719372101
1.0235310218990269e-09,0.2175402281976399,48080.21735154599
1.2915496650148826e-09,0.2175402281976399,48082.63567578098
